Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57358.raw
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	2	0	1.64323e+06
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	8	8	5.11074e+06
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	5	5	775760
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1	1	1.80655e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	31	31	1.69159e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	3	2	127539
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	1	1	6082.81
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	5	5	1.13976e+06
A7ZPS4;A8A2X1;B1IWI1;B1LNC8;B2TXQ4;B5Z015;B6I548;B7LCL6;B7LKG3;B7M7I1;B7MYB7;B7NQL6;P0A6L2;P0A6L3;P63943;P63944;Q0T239;Q31Y13;Q32D87;Q3YZ74	DAPA_ECO24;DAPA_ECO55;DAPA_ECO57;DAPA_ECO5E;DAPA_ECO7I;DAPA_ECO81;DAPA_ECO8A;DAPA_ECOHS;DAPA_ECOL6;DAPA_ECOLC;DAPA_ECOLI;DAPA_ECOSE;DAPA_ECOSM;DAPA_ESCF3;DAPA_SHIB3;DAPA_SHIBS;DAPA_SHIDS;DAPA_SHIF8;DAPA_SHIFL;DAPA_SHISS	dapA	4-hydroxy-tetrahydrodipicolinate synthase	2	2	3255.77
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	9	1	442227
A8K8V0	ZN785_HUMAN	ZNF785	Zinc finger protein 785	1	1	2773.58
A8MPP1	D11L8_HUMAN	DDX11L8	Putative ATP-dependent RNA helicase DDX11-like protein 8	1	0	518511
A8MQ03	CRTP1_HUMAN	CYSRT1	Cysteine-rich tail protein 1	1	1	119125
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	2	0	5.15793e+06
A8MXV4	NUD19_HUMAN	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	4	4	554113
A8TX70	CO6A5_HUMAN	COL6A5	Collagen alpha-5(VI) chain	1	1	3122.85
A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	3	3	895547
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	29	27	4.28551e+06
B1AL46	NTM2E_HUMAN	NUTM2E	NUT family member 2E	1	0	45719.3
B1ANS9	WDR64_HUMAN	WDR64	WD repeat-containing protein 64	1	1	480293
B4SVF7	CUTC_SALNS	cutC	PF03932 family protein CutC	1	1	766316
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	3	0	1.93194e+06
B8H444	FTSH_CAUVN	ftsH	ATP-dependent zinc metalloprotease FtsH	1	1	1919.7
C9J7I0	UMAD1_HUMAN	UMAD1	UBAP1-MVB12-associated (UMA)-domain containing protein 1	2	2	1542.85
C9JI98	TM238_HUMAN	TMEM238	Transmembrane protein 238	3	3	109390
D6VTK4	STE2_YEAST	STE2	Pheromone alpha factor receptor	3	3	560334
E0SDG8	CDIA_DICD3	cdiA	Deoxyribonuclease CdiA	2	2	134643
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	5	4	6.34209e+06
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	3	3	7.72211e+06
J8H9C1	GAJA_BACC6	gajA	Endonuclease GajA	2	2	128025
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	4	4	580409
L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	2	2	188424
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	4	4	1.61614e+06
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	17	17	937424
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	12	11	1.70197e+06
O00141	SGK1_HUMAN	SGK1	Serine/threonine-protein kinase Sgk1	5	5	232464
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	5	5	3.50214e+06
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	7	7	965275
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	10	10	1.89179e+06
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	24	23	2.55939e+06
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	5	5	1.02643e+07
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	6	6	288010
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	12	12	849853
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	12	12	1.44707e+06
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	13	13	2.92697e+06
O00189	AP4M1_HUMAN	AP4M1	AP-4 complex subunit mu-1	1	1	1877.66
O00193	SMAP_HUMAN	SMAP	Small acidic protein	3	3	1.15314e+08
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	1	1	1.64554e+06
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	13	9	780345
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	6	6	1.10839e+06
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	20	20	9.57099e+06
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	14	14	7.82125e+06
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	9	9	3.06416e+06
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	5	5	1.46852e+06
O00255	MEN1_HUMAN	MEN1	Menin	5	5	219854
O00257	CBX4_HUMAN	CBX4	E3 SUMO-protein ligase CBX4	4	4	223502
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	6	6	1.22134e+07
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	24	24	1.14922e+06
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	4	3	101811
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	11	11	1.59588e+06
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	4	4	230524
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	10	10	8.58059e+06
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	11	11	5.62083e+06
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	11	11	1.69882e+06
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	2	2	231824
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	3	3	1.03056e+06
O00400	ACATN_HUMAN	SLC33A1	Acetyl-coenzyme A transporter 1	6	6	259490
O00401	WASL_HUMAN	WASL	Neural Wiskott-Aldrich syndrome protein	2	2	1.37892e+06
O00410	IPO5_HUMAN	IPO5	Importin-5	35	33	2.70477e+06
O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial	7	7	7.72885e+06
O00418	EF2K_HUMAN	EEF2K	Eukaryotic elongation factor 2 kinase	4	4	111987
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	5	5	1.6285e+06
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	19	17	1.34189e+06
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	23	23	1.79587e+06
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	6	6	2.56646e+06
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	8	8	228202
O00458	IFRD1_HUMAN	IFRD1	Interferon-related developmental regulator 1	5	5	5.13485e+06
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	4	4	101580
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	12	12	1.13508e+06
O00468	AGRIN_HUMAN	AGRN	Agrin	12	12	489103
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	6	6	278722
O00470	MEIS1_HUMAN	MEIS1	Homeobox protein Meis1	1	0	79261.3
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	10	10	287012
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	3	3	2.99725e+06
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	7	7	1.96511e+07
O00488	ZN593_HUMAN	ZNF593	Zinc finger protein 593	4	4	720792
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	9	9	2.62355e+06
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	2	2	205197
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	21	21	9.75864e+06
O00541	PESC_HUMAN	PES1	Pescadillo homolog	16	16	3.15921e+06
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	4	4	309820
O00562	PITM1_HUMAN	PITPNM1	Membrane-associated phosphatidylinositol transfer protein 1	5	5	155434
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	7	7	3.52402e+07
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	19	19	1.93531e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	30	9	4.83218e+06
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	1	1	94031.5
O00592	PODXL_HUMAN	PODXL	Podocalyxin	8	8	3.4711e+06
O00623	PEX12_HUMAN	PEX12	Peroxisome assembly protein 12	1	1	70910.1
O00625	PIR_HUMAN	PIR	Pirin	7	7	1.51951e+06
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	9	4	1.30382e+06
O00635	TRI38_HUMAN	TRIM38	E3 ubiquitin-protein ligase TRIM38	2	2	703455
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	9	9	2.16073e+06
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	4	4	2.04473e+06
O00762	UBE2C_HUMAN	UBE2C	Ubiquitin-conjugating enzyme E2 C	5	5	686527
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	8	8	1.55466e+06
O00767	ACOD_HUMAN	SCD	Acyl-CoA desaturase	6	6	2.62768e+06
O13297	CET1_YEAST	CET1	mRNA-capping enzyme subunit beta	17	17	2.77915e+07
O13329	FOB1_YEAST	FOB1	DNA replication fork-blocking protein FOB1	3	3	79222.5
O13516	RS9A_YEAST	RPS9A	Small ribosomal subunit protein uS4A	11	1	6.49325e+07
O13525	COQ4_YEAST	COQ4	Ubiquinone biosynthesis protein COQ4, mitochondrial	3	3	117166
O13539	THP2_YEAST	THP2	THO complex subunit THP2	3	3	1.46082e+07
O13547	CCW14_YEAST	CCW14	Covalently-linked cell wall protein 14	2	2	1.4037e+06
O13563	RPN13_YEAST	RPN13	26S proteasome regulatory subunit RPN13	5	5	4.27287e+06
O13585	YP089_YEAST	YPR089W	Dilute domain-containing protein YPR089W	10	10	2.312e+06
O14455	RL36B_YEAST	RPL36B	Large ribosomal subunit protein eL36B	4	1	7.35851e+07
O14467	MBF1_YEAST	MBF1	Multiprotein-bridging factor 1	8	8	1.69413e+07
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	7	6	396706
O14519;O75956	CDKA1_HUMAN;CDKA2_HUMAN	CDK2AP1;CDK2AP2	Cyclin-dependent kinase 2-associated protein 1	1	0	7708.64
O14524	NEMP1_HUMAN	NEMP1	Nuclear envelope integral membrane protein 1	3	3	118651
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	7	7	1.02875e+07
O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	4	4	117873
O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	5	5	2.97872e+06
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	2	2	2.10847e+06
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	5	5	2.87273e+06
O14569	C56D2_HUMAN	CYB561D2	Cytochrome b561 domain-containing protein 2	1	1	13091.8
O14578	CTRO_HUMAN	CIT	Citron Rho-interacting kinase	4	4	1.2687e+06
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	9	9	1.58539e+06
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	18	18	1.63098e+06
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	6	6	400118
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	11	11	751993
O14641	DVL2_HUMAN	DVL2	Segment polarity protein dishevelled homolog DVL-2	5	2	1.0318e+06
O14646	CHD1_HUMAN	CHD1	Chromodomain-helicase-DNA-binding protein 1	9	7	246834
O14647	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2	4	4	720370
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	6	6	1.05086e+07
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	6	6	647884
O14662	STX16_HUMAN	STX16	Syntaxin-16	4	4	2.16261e+06
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	12	12	524784
O14681	EI24_HUMAN	EI24	Etoposide-induced protein 2.4 homolog	3	3	4916.47
O14684	PTGES_HUMAN	PTGES	Prostaglandin E synthase	2	2	2.83191e+06
O14727	APAF_HUMAN	APAF1	Apoptotic protease-activating factor 1	1	1	190640
O14730	RIOK3_HUMAN	RIOK3	Serine/threonine-protein kinase RIO3	3	3	724022
O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	2	2	796940
O14733	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	4	4	2.18809e+06
O14734	ACOT8_HUMAN	ACOT8	Acyl-coenzyme A thioesterase 8	6	6	2.69357e+06
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	2	2	2.37345e+06
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	6	6	2.76317e+06
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	14	14	2.30315e+06
O14745	NHRF1_HUMAN	SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	9	9	792486
O14757	CHK1_HUMAN	CHEK1	Serine/threonine-protein kinase Chk1	2	2	1989.28
O14763	TR10B_HUMAN	TNFRSF10B	Tumor necrosis factor receptor superfamily member 10B	3	3	85383.7
O14772	FPGT_HUMAN	FPGT	Fucose-1-phosphate guanylyltransferase	1	1	2406.38
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	7	7	2.61077e+06
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	30	28	1.38784e+07
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	8	8	1.47647e+06
O14802	RPC1_HUMAN	POLR3A	DNA-directed RNA polymerase III subunit RPC1	10	10	6.10258e+06
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	11	7	7.33323e+06
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	7	7	1.57746e+06
O14832	PAHX_HUMAN	PHYH	Phytanoyl-CoA dioxygenase, peroxisomal	1	1	145328
O14874	BCKD_HUMAN	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	1	1	66958
O14879	IFIT3_HUMAN	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3	3	3	93244
O14880	MGST3_HUMAN	MGST3	Microsomal glutathione S-transferase 3	4	4	650361
O14893	GEMI2_HUMAN	GEMIN2	Gem-associated protein 2	2	2	69320.9
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	1	1	183845
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	10	9	1.74128e+06
O14920	IKKB_HUMAN	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	7	7	4.25521e+06
O14925;Q5SRD1	TI23B_HUMAN;TIM23_HUMAN	TIMM23;TIMM23B	Mitochondrial import inner membrane translocase subunit Tim23	2	0	183094
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	8	8	685918
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	13	13	601045
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	4	4	1.13476e+06
O14950;P19105	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	7	0	3.54225e+06
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	9	9	995634
O14965	AURKA_HUMAN	AURKA	Aurora kinase A	5	4	130341
O14967	CLGN_HUMAN	CLGN	Calmegin	1	1	3321.83
O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	3	3	87789.9
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	19	19	1.45597e+06
O14975	S27A2_HUMAN	SLC27A2	Very long-chain acyl-CoA synthetase	22	22	2.74247e+06
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	9	9	306920
O14978	ZN263_HUMAN	ZNF263	Zinc finger protein 263	1	1	83426.2
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	5	5	6.89739e+06
O14980	XPO1_HUMAN	XPO1	Exportin-1	29	29	8.87459e+06
O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	15	15	3.73536e+06
O15013	ARHGA_HUMAN	ARHGEF10	Rho guanine nucleotide exchange factor 10	4	4	71029.7
O15014	ZN609_HUMAN	ZNF609	Zinc finger protein 609	2	2	3152
O15020	SPTN2_HUMAN	SPTBN2	Spectrin beta chain, non-erythrocytic 2	24	24	607817
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	37	37	918867
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	22	21	1.44761e+06
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	16	16	4.52733e+06
O15047	SET1A_HUMAN	SETD1A	Histone-lysine N-methyltransferase SETD1A	3	3	465174
O15066	KIF3B_HUMAN	KIF3B	Kinesin-like protein KIF3B	2	2	160782
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	27	27	2.55423e+06
O15084	ANR28_HUMAN	ANKRD28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	6	6	1.17961e+06
O15111	IKKA_HUMAN	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha	4	4	346246
O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1	1	1	165060
O15118	NPC1_HUMAN	NPC1	NPC intracellular cholesterol transporter 1	8	8	2.63791e+06
O15120	PLCB_HUMAN	AGPAT2	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	3	3	408734
O15121	DEGS1_HUMAN	DEGS1	Sphingolipid delta(4)-desaturase DES1	1	1	69428.2
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	6	6	1.01519e+06
O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	3	3	1.217e+06
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	13	12	1.63377e+06
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	12	12	5.5582e+06
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	7	7	1.73908e+06
O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	6	6	980860
O15162	PLS1_HUMAN	PLSCR1	Phospholipid scramblase 1	4	4	566414
O15164	TIF1A_HUMAN	TRIM24	Transcription intermediary factor 1-alpha	6	6	1.35317e+06
O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	9	8	1.11477e+07
O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	6	6	2.24174e+06
O15213	WDR46_HUMAN	WDR46	WD repeat-containing protein 46	9	9	1.39346e+06
O15226	NKRF_HUMAN	NKRF	NF-kappa-B-repressing factor	15	15	2.53843e+06
O15228	GNPAT_HUMAN	GNPAT	Dihydroxyacetone phosphate acyltransferase	4	4	14629.9
O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	12	12	592007
O15231	ZN185_HUMAN	ZNF185	Zinc finger protein 185	9	9	6.09865e+06
O15234	CASC3_HUMAN	CASC3	Protein CASC3	3	3	11916
O15235	RT12_HUMAN	MRPS12	28S ribosomal protein S12, mitochondrial	3	3	402648
O15243	OBRG_HUMAN	LEPROT	Leptin receptor gene-related protein	1	1	2126.12
O15258	RER1_HUMAN	RER1	Protein RER1	4	4	351166
O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	5	5	2.92486e+06
O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	6	6	201312
O15270	SPTC2_HUMAN	SPTLC2	Serine palmitoyltransferase 2	7	7	5.91956e+06
O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	29	29	8.9518e+06
O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	8	8	821614
O15318	RPC7_HUMAN	POLR3G	DNA-directed RNA polymerase III subunit RPC7	2	2	482575
O15321	TM9S1_HUMAN	TM9SF1	Transmembrane 9 superfamily member 1	8	8	240974
O15344	TRI18_HUMAN	MID1	E3 ubiquitin-protein ligase Midline-1	8	8	861879
O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	4	4	7.08296e+06
O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	13	13	2.01396e+06
O15357	SHIP2_HUMAN	INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	24	24	3.2772e+06
O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	16	16	2.15286e+06
O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	9	9	2.00579e+06
O15379	HDAC3_HUMAN	HDAC3	Histone deacetylase 3	4	4	1.43016e+06
