Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57388.raw
O14467	MBF1_YEAST	MBF1	Multiprotein-bridging factor 1	8	8	1.56894e+07
O14493;O15551;O95484;P56747	CLD3_HUMAN;CLD4_HUMAN;CLD6_HUMAN;CLD9_HUMAN	CLDN3;CLDN4;CLDN6;CLDN9	Claudin-4	1	0	65311.3
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	5	4	44606.7
O14523	C2C2L_HUMAN	C2CD2L	Phospholipid transfer protein C2CD2L	1	1	211129
O14524	NEMP1_HUMAN	NEMP1	Nuclear envelope integral membrane protein 1	2	2	229569
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	5	5	877470
O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	5	5	371964
O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	5	5	4.26857e+06
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	1	1	1.20199e+06
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	7	7	2.92156e+06
O14569	C56D2_HUMAN	CYB561D2	Cytochrome b561 domain-containing protein 2	1	1	330068
O14578	CTRO_HUMAN	CIT	Citron Rho-interacting kinase	2	2	160116
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	8	8	2.33414e+06
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	18	18	4.0875e+06
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	4	4	534749
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	9	9	969958
O14640;P54792	DVL1_HUMAN;DVLP1_HUMAN	DVL1;DVL1P1	Segment polarity protein dishevelled homolog DVL-1	1	0	3908.26
O14641	DVL2_HUMAN	DVL2	Segment polarity protein dishevelled homolog DVL-2	2	2	178207
O14646	CHD1_HUMAN	CHD1	Chromodomain-helicase-DNA-binding protein 1	3	1	326387
O14647	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2	1	1	76013.8
O14653	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2	1	1	261350
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	7	7	3.93029e+06
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	5	5	1.25723e+06
O14662	STX16_HUMAN	STX16	Syntaxin-16	3	3	650033
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	8	8	158649
O14684	PTGES_HUMAN	PTGES	Prostaglandin E synthase	4	4	4.05052e+06
O14727	APAF_HUMAN	APAF1	Apoptotic protease-activating factor 1	4	4	135976
O14730	RIOK3_HUMAN	RIOK3	Serine/threonine-protein kinase RIO3	2	2	348852
O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	2	2	1.07943e+06
O14734	ACOT8_HUMAN	ACOT8	Acyl-coenzyme A thioesterase 8	4	4	241593
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	2	2	1.82024e+06
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	6	6	3.9536e+06
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	12	12	4.63007e+06
O14745	NHRF1_HUMAN	SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	10	10	1.00876e+06
O14757	CHK1_HUMAN	CHEK1	Serine/threonine-protein kinase Chk1	4	4	151501
O14763	TR10B_HUMAN	TNFRSF10B	Tumor necrosis factor receptor superfamily member 10B	5	5	431820
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	5	5	4.48476e+06
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	24	22	3.66275e+06
O14777	NDC80_HUMAN	NDC80	Kinetochore protein NDC80 homolog	4	4	170055
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	4	4	2.54711e+06
O14802	RPC1_HUMAN	POLR3A	DNA-directed RNA polymerase III subunit RPC1	10	10	1.79986e+06
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	11	7	1.45139e+07
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	6	6	1.94561e+06
O14874	BCKD_HUMAN	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	2	2	2.66271e+06
O14879	IFIT3_HUMAN	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3	1	1	45770.1
O14880	MGST3_HUMAN	MGST3	Microsomal glutathione S-transferase 3	2	2	648765
O14893	GEMI2_HUMAN	GEMIN2	Gem-associated protein 2	2	2	1.14364e+06
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	1	1	161628
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	10	9	1.97242e+06
O14920	IKKB_HUMAN	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	5	5	232316
O14925;Q5SRD1	TI23B_HUMAN;TIM23_HUMAN	TIMM23;TIMM23B	Mitochondrial import inner membrane translocase subunit Tim23	1	0	334159
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	6	6	1.05948e+06
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	7	7	317712
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	2	2	3.22261e+06
O14950;P19105	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	6	0	5.23966e+06
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	7	7	421060
O14965	AURKA_HUMAN	AURKA	Aurora kinase A	2	2	136114
O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	1	1	42926.8
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	20	19	1.16632e+06
O14975	S27A2_HUMAN	SLC27A2	Very long-chain acyl-CoA synthetase	19	19	4.30297e+06
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	7	7	268594
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	6	6	9.58948e+06
O14980	XPO1_HUMAN	XPO1	Exportin-1	26	26	5.59226e+06
O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	11	11	1.79794e+06
O15013	ARHGA_HUMAN	ARHGEF10	Rho guanine nucleotide exchange factor 10	5	5	98347.2
O15014	ZN609_HUMAN	ZNF609	Zinc finger protein 609	4	4	2.87936e+06
O15020	SPTN2_HUMAN	SPTBN2	Spectrin beta chain, non-erythrocytic 2	21	21	1.8739e+06
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	32	32	3.77446e+06
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	17	17	1.22237e+06
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	18	18	4.8337e+06
O15047	SET1A_HUMAN	SETD1A	Histone-lysine N-methyltransferase SETD1A	3	3	357411
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	22	22	3.29412e+06
O15084	ANR28_HUMAN	ANKRD28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	6	6	1.67074e+06
O15091	MRPP3_HUMAN	PRORP	Mitochondrial ribonuclease P catalytic subunit	3	3	267933
O15111	IKKA_HUMAN	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha	6	6	2.82324e+06
O15118	NPC1_HUMAN	NPC1	NPC intracellular cholesterol transporter 1	10	10	8.24044e+06
O15120	PLCB_HUMAN	AGPAT2	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	3	3	403403
O15121	DEGS1_HUMAN	DEGS1	Sphingolipid delta(4)-desaturase DES1	1	1	5502.21
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	7	7	274135
O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	1	1	1.85997e+06
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	13	13	3.03927e+06
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	13	13	6.44585e+06
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	4	4	4.32477e+06
O15155	BET1_HUMAN	BET1	BET1 homolog	1	1	336702
O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	8	8	5.93015e+06
O15162	PLS1_HUMAN	PLSCR1	Phospholipid scramblase 1	3	3	730692
O15164	TIF1A_HUMAN	TRIM24	Transcription intermediary factor 1-alpha	6	6	343495
O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	9	8	1.01233e+07
O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	6	6	4.97353e+06
O15213	WDR46_HUMAN	WDR46	WD repeat-containing protein 46	7	7	372648
O15226	NKRF_HUMAN	NKRF	NF-kappa-B-repressing factor	14	14	4.02775e+06
O15228	GNPAT_HUMAN	GNPAT	Dihydroxyacetone phosphate acyltransferase	5	5	95071.9
O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	13	13	66138.1
O15231	ZN185_HUMAN	ZNF185	Zinc finger protein 185	7	7	109944
O15234	CASC3_HUMAN	CASC3	Protein CASC3	2	2	37186.5
O15235	RT12_HUMAN	MRPS12	28S ribosomal protein S12, mitochondrial	1	1	583902
O15258	RER1_HUMAN	RER1	Protein RER1	3	3	567324
O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	2	2	5.26556e+06
O15265	ATX7_HUMAN	ATXN7	Ataxin-7	1	1	3959.23
O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	4	4	1.40867e+07
O15270	SPTC2_HUMAN	SPTLC2	Serine palmitoyltransferase 2	6	6	258827
O15287	FANCG_HUMAN	FANCG	Fanconi anemia group G protein	2	2	2153.26
